No,Red,Green,Blue,Brightness
933,0.455,0.359,0.186,132
934,0.456,0.361,0.184,135
935,0.458,0.361,0.181,131
936,0.461,0.362,0.177,127
937,0.465,0.359,0.176,129
938,0.46,0.36,0.18,128
939,0.466,0.359,0.176,120
940,0.468,0.357,0.175,116
941,0.468,0.355,0.177,114
942,0.462,0.361,0.176,111
943,0.47,0.357,0.174,107
944,0.467,0.358,0.175,110
945,0.46,0.363,0.177,115
946,0.464,0.36,0.176,115
947,0.458,0.364,0.178,109
948,0.463,0.361,0.176,100
949,0.469,0.357,0.173,91
950,0.468,0.354,0.177,73
951,0.472,0.358,0.17,50
952,0.471,0.353,0.176,31
953,0.467,0.367,0.167,27
954,0.483,0.345,0.172,26
955,0.484,0.355,0.161,28
956,0.471,0.353,0.176,64
957,0.474,0.347,0.179,89
958,0.465,0.36,0.175,107
959,0.461,0.359,0.18,119
960,0.459,0.363,0.178,136
961,0.457,0.364,0.179,151
962,0.456,0.367,0.178,155
963,0.454,0.368,0.178,158
964,0.464,0.358,0.179,162
965,0.464,0.359,0.177,163
966,0.463,0.36,0.177,156
967,0.463,0.36,0.177,156
968,0.472,0.354,0.174,160
969,0.469,0.352,0.179,160
970,0.463,0.36,0.177,157
971,0.469,0.358,0.173,162
972,0.468,0.356,0.176,171
973,0.459,0.359,0.182,170
974,0.452,0.361,0.187,159
975,0.445,0.366,0.189,158
976,0.447,0.359,0.194,163
977,0.448,0.36,0.192,164
978,0.449,0.364,0.187,166
979,0.456,0.357,0.187,171
980,0.456,0.356,0.189,169
981,0.45,0.363,0.187,160
982,0.449,0.365,0.186,158
983,0.453,0.359,0.188,160
984,0.455,0.358,0.187,167
985,0.451,0.357,0.192,172
986,0.453,0.358,0.189,181
987,0.458,0.353,0.189,190
988,0.459,0.351,0.19,195
989,0.452,0.355,0.193,188
990,0.456,0.352,0.192,186
991,0.456,0.347,0.197,187
992,0.453,0.353,0.195,183
993,0.452,0.355,0.194,180
994,0.45,0.356,0.194,181
995,0.459,0.351,0.191,183
996,0.451,0.358,0.192,180
997,0.45,0.36,0.19,176
998,0.455,0.356,0.188,177
999,0.458,0.353,0.189,176
1000,0.458,0.358,0.184,166
1001,0.458,0.361,0.181,153
1002,0.462,0.354,0.184,146
1003,0.46,0.36,0.18,137
1004,0.46,0.36,0.18,126
1005,0.451,0.361,0.187,130
1006,0.449,0.361,0.19,145
1007,0.447,0.359,0.194,157
1008,0.446,0.357,0.196,155
1009,0.455,0.353,0.192,161
1010,0.468,0.345,0.187,165
1011,0.463,0.354,0.183,157
1012,0.468,0.351,0.182,147
1013,0.456,0.356,0.188,143
1014,0.458,0.354,0.187,140
1015,0.456,0.353,0.191,131
1016,0.456,0.352,0.192,121
1017,0.458,0.35,0.192,117
1018,0.463,0.347,0.19,120
1019,0.462,0.345,0.193,118
1020,0.462,0.35,0.188,116
1021,0.462,0.345,0.193,119
1022,0.467,0.344,0.189,122
1023,0.475,0.344,0.18,122
