No,Red,Green,Blue,Brightness
199,0.526,0.301,0.173,130
200,0.525,0.295,0.18,120
201,0.523,0.297,0.18,108
202,0.515,0.307,0.178,97
203,0.531,0.302,0.167,95
204,0.539,0.303,0.157,88
205,0.55,0.29,0.16,98
206,0.559,0.288,0.153,107
207,0.57,0.281,0.149,110
208,0.575,0.283,0.142,116
209,0.575,0.283,0.142,125
210,0.577,0.288,0.135,110
211,0.579,0.284,0.137,96
212,0.58,0.284,0.136,82
213,0.561,0.293,0.146,82
214,0.54,0.3,0.16,96
215,0.518,0.304,0.179,105
216,0.519,0.29,0.191,121
217,0.524,0.287,0.189,134
218,0.533,0.287,0.18,141
219,0.546,0.289,0.164,142
220,0.542,0.297,0.161,146
221,0.54,0.301,0.16,152
222,0.535,0.299,0.166,145
223,0.526,0.307,0.168,124
224,0.504,0.319,0.176,108
225,0.505,0.324,0.171,96
226,0.5,0.333,0.167,76
227,0.5,0.339,0.161,57
228,0.519,0.333,0.148,50
229,0.509,0.333,0.158,53
230,0.492,0.339,0.169,55
231,0.477,0.338,0.185,61
232,0.472,0.333,0.194,67
233,0.451,0.338,0.211,67
234,0.457,0.329,0.214,66
235,0.465,0.324,0.211,67
236,0.471,0.329,0.2,66
237,0.485,0.324,0.191,65
238,0.479,0.324,0.197,68
239,0.487,0.316,0.197,72
240,0.481,0.321,0.198,78
241,0.482,0.318,0.2,84
242,0.477,0.318,0.205,88
243,0.468,0.319,0.213,93
244,0.475,0.317,0.208,100
245,0.486,0.308,0.206,106
246,0.5,0.307,0.193,114
247,0.504,0.306,0.19,124
248,0.515,0.308,0.177,132
249,0.511,0.313,0.176,136
250,0.511,0.317,0.173,145
251,0.507,0.318,0.176,152
252,0.5,0.324,0.176,153
253,0.5,0.322,0.178,149
254,0.506,0.318,0.175,155
255,0.515,0.319,0.166,160
256,0.511,0.322,0.167,174
257,0.507,0.319,0.174,200
258,0.509,0.32,0.171,220
259,0.504,0.323,0.173,242
260,0.5,0.325,0.175,239
261,0.496,0.325,0.179,228
262,0.493,0.328,0.179,223
263,0.495,0.324,0.181,212
264,0.49,0.328,0.181,199
265,0.497,0.32,0.183,193
266,0.498,0.32,0.182,200
267,0.491,0.323,0.186,215
268,0.487,0.325,0.188,227
269,0.49,0.319,0.191,243
270,0.491,0.32,0.19,260
271,0.496,0.318,0.186,254
272,0.504,0.315,0.181,245
273,0.5,0.319,0.181,219
274,0.492,0.326,0.182,182
275,0.483,0.332,0.185,207
276,0.49,0.327,0.183,262
277,0.5,0.32,0.18,279
278,0.503,0.316,0.18,297
279,0.507,0.311,0.182,292
280,0.51,0.309,0.181,264
281,0.512,0.307,0.181,260
282,0.51,0.309,0.181,262
283,0.511,0.307,0.182,265
284,0.509,0.31,0.181,277
285,0.506,0.314,0.18,254
286,0.509,0.308,0.184,232
287,0.513,0.306,0.181,224
288,0.517,0.306,0.178,231
289,0.516,0.307,0.177,264
290,0.512,0.311,0.177,288
291,0.505,0.317,0.178,316
292,0.516,0.309,0.176,356
293,0.524,0.299,0.177,344
294,0.522,0.299,0.179,363
295,0.51,0.31,0.18,391
296,0.505,0.314,0.18,376
297,0.504,0.316,0.18,340
