No,Red,Green,Blue,Brightness
199,0.454,0.341,0.205,455
200,0.453,0.341,0.207,463
201,0.439,0.349,0.212,498
202,0.433,0.353,0.214,523
203,0.429,0.357,0.214,452
204,0.443,0.35,0.207,494
205,0.453,0.345,0.202,540
206,0.457,0.345,0.198,573
207,0.455,0.346,0.199,613
208,0.456,0.345,0.199,621
209,0.467,0.336,0.197,617
210,0.471,0.331,0.198,617
211,0.467,0.333,0.199,632
212,0.459,0.338,0.203,701
213,0.456,0.34,0.204,733
214,0.457,0.34,0.203,740
215,0.463,0.339,0.198,711
216,0.466,0.336,0.198,681
217,0.467,0.334,0.199,657
218,0.467,0.335,0.197,641
219,0.466,0.334,0.201,613
220,0.464,0.336,0.2,531
221,0.461,0.334,0.205,524
222,0.458,0.336,0.206,532
223,0.444,0.347,0.208,546
224,0.437,0.353,0.21,568
225,0.438,0.351,0.211,564
226,0.443,0.348,0.209,527
227,0.452,0.342,0.207,497
228,0.454,0.341,0.205,482
229,0.453,0.342,0.205,509
230,0.451,0.344,0.205,519
231,0.447,0.347,0.206,509
232,0.448,0.347,0.205,512
233,0.456,0.338,0.206,513
234,0.461,0.333,0.206,487
235,0.46,0.333,0.206,471
236,0.458,0.333,0.208,449
237,0.462,0.334,0.204,449
238,0.461,0.333,0.206,399
239,0.453,0.336,0.211,342
240,0.443,0.336,0.221,309
241,0.421,0.345,0.234,276
242,0.421,0.343,0.236,280
243,0.425,0.344,0.231,298
244,0.433,0.343,0.225,309
245,0.446,0.338,0.216,317
246,0.455,0.331,0.214,305
247,0.453,0.33,0.218,292
248,0.452,0.332,0.216,290
249,0.454,0.331,0.215,292
250,0.454,0.333,0.213,328
251,0.455,0.334,0.211,345
252,0.455,0.336,0.209,339
253,0.453,0.335,0.211,345
254,0.458,0.335,0.207,344
255,0.458,0.333,0.209,327
256,0.459,0.334,0.206,324
257,0.46,0.334,0.206,294
258,0.452,0.335,0.213,268
259,0.451,0.333,0.216,260
260,0.445,0.336,0.219,252
261,0.441,0.336,0.223,245
262,0.435,0.339,0.226,242
263,0.429,0.344,0.227,262
264,0.435,0.344,0.221,269
265,0.441,0.339,0.22,266
266,0.447,0.337,0.216,263
267,0.446,0.339,0.214,284
268,0.447,0.342,0.211,310
269,0.445,0.341,0.214,315
270,0.448,0.339,0.213,321
271,0.453,0.339,0.208,323
272,0.452,0.338,0.209,321
273,0.45,0.338,0.212,309
274,0.445,0.341,0.215,317
275,0.444,0.341,0.215,332
276,0.444,0.341,0.215,309
277,0.445,0.338,0.217,283
278,0.447,0.341,0.212,291
279,0.45,0.342,0.208,305
280,0.448,0.341,0.211,291
281,0.447,0.341,0.212,287
282,0.447,0.343,0.21,284
283,0.443,0.344,0.213,274
284,0.439,0.343,0.218,277
285,0.438,0.345,0.217,283
286,0.431,0.35,0.219,272
287,0.432,0.349,0.219,320
288,0.435,0.349,0.216,368
289,0.44,0.348,0.211,386
290,0.443,0.351,0.206,433
291,0.447,0.348,0.205,444
292,0.449,0.346,0.205,422
293,0.452,0.341,0.207,407
294,0.45,0.34,0.21,390
295,0.45,0.34,0.21,394
296,0.446,0.344,0.21,407
297,0.446,0.345,0.209,403
298,0.444,0.346,0.211,379
299,0.445,0.344,0.211,369
300,0.445,0.344,0.211,361
301,0.441,0.346,0.213,339
302,0.434,0.348,0.218,298
303,0.431,0.347,0.223,261
304,0.429,0.34,0.231,228
305,0.423,0.342,0.234,218
306,0.417,0.348,0.235,231
307,0.41,0.354,0.236,232
308,0.417,0.35,0.233,213
309,0.421,0.349,0.231,204
310,0.424,0.346,0.23,199
311,0.421,0.35,0.228,203
312,0.42,0.352,0.228,202
313,0.416,0.358,0.225,181
314,0.425,0.352,0.223,186
315,0.43,0.349,0.22,188
316,0.443,0.344,0.213,182
317,0.444,0.343,0.213,177
318,0.443,0.341,0.216,167
319,0.443,0.342,0.215,159
320,0.444,0.34,0.216,153
321,0.442,0.34,0.218,155
322,0.441,0.338,0.221,135
323,0.433,0.342,0.225,121
324,0.435,0.339,0.226,116
325,0.437,0.336,0.227,121
