No,Red,Green,Blue,Brightness
847,0.492,0.246,0.262,58
848,0.5,0.24,0.26,44
849,0.5,0.239,0.261,39
850,0.523,0.227,0.25,40
851,0.523,0.227,0.25,39
852,0.533,0.222,0.244,41
853,0.535,0.233,0.233,39
854,0.538,0.231,0.231,34
855,0.568,0.216,0.216,32
856,0.543,0.229,0.229,30
857,0.543,0.229,0.229,30
858,0.556,0.222,0.222,32
859,0.561,0.22,0.22,37
860,0.55,0.225,0.225,35
861,0.559,0.235,0.206,30
862,0.583,0.208,0.208,21
863,0.6,0.2,0.2,13
864,0.667,0.167,0.167,12
865,0.625,0.187,0.187,15
866,0.591,0.227,0.182,20
867,0.6,0.2,0.2,23
868,0.594,0.219,0.187,30
869,0.581,0.226,0.194,28
870,0.586,0.207,0.207,27
871,0.581,0.226,0.194,28
872,0.586,0.207,0.207,26
873,0.581,0.226,0.194,28
874,0.588,0.206,0.206,32
875,0.556,0.222,0.222,33
876,0.561,0.22,0.22,39
877,0.558,0.209,0.233,43
878,0.545,0.227,0.227,43
879,0.551,0.224,0.224,49
880,0.56,0.22,0.22,51
881,0.562,0.219,0.219,64
882,0.557,0.229,0.214,68
883,0.575,0.219,0.205,71
884,0.587,0.213,0.2,72
885,0.592,0.211,0.197,67
886,0.597,0.208,0.194,69
887,0.586,0.214,0.2,66
888,0.603,0.206,0.191,64
889,0.603,0.206,0.19,60
890,0.614,0.211,0.175,53
891,0.611,0.204,0.185,50
892,0.63,0.196,0.174,42
893,0.636,0.205,0.159,41
894,0.622,0.2,0.178,40
895,0.61,0.22,0.171,37
896,0.591,0.227,0.182,39
897,0.583,0.229,0.187,42
898,0.574,0.234,0.191,40
899,0.564,0.231,0.205,32
900,0.54,0.24,0.22,42
901,0.556,0.222,0.222,55
902,0.549,0.225,0.225,61
903,0.554,0.23,0.216,66
904,0.56,0.227,0.213,66
905,0.569,0.222,0.208,63
906,0.594,0.203,0.203,62
907,0.591,0.212,0.197,61
908,0.565,0.217,0.217,64
909,0.564,0.218,0.218,72
910,0.57,0.215,0.215,73
911,0.566,0.217,0.217,78
912,0.57,0.215,0.215,87
913,0.576,0.212,0.212,92
914,0.57,0.21,0.22,94
915,0.577,0.206,0.216,91
916,0.575,0.207,0.218,81
917,0.566,0.205,0.229,76
918,0.56,0.214,0.226,78
919,0.548,0.226,0.226,76
920,0.541,0.224,0.235,77
921,0.541,0.224,0.235,77
922,0.542,0.229,0.229,74
923,0.543,0.222,0.235,72
924,0.538,0.225,0.237,72
925,0.531,0.235,0.235,73
926,0.535,0.233,0.233,77
927,0.534,0.227,0.239,80
928,0.526,0.232,0.242,86
929,0.525,0.232,0.242,90
930,0.51,0.24,0.25,95
931,0.495,0.248,0.257,92
932,0.479,0.255,0.266,85
933,0.463,0.268,0.268,75
934,0.459,0.271,0.271,79
935,0.469,0.265,0.265,91
936,0.482,0.264,0.255,102
937,0.481,0.259,0.259,100
938,0.481,0.264,0.255,99
939,0.476,0.267,0.257,98
940,0.471,0.265,0.265,95
941,0.475,0.267,0.257,94
942,0.469,0.271,0.26,89
943,0.457,0.277,0.266,87
944,0.452,0.28,0.269,87
945,0.453,0.279,0.267,81
946,0.442,0.286,0.273,72
947,0.452,0.288,0.26,68
948,0.463,0.284,0.254,62
949,0.484,0.281,0.234,59
950,0.507,0.275,0.217,63
951,0.512,0.268,0.22,74
952,0.51,0.276,0.214,89
953,0.505,0.276,0.219,95
954,0.496,0.278,0.226,105
955,0.492,0.278,0.23,117
956,0.488,0.279,0.233,119
